#date (d),Odometer (o) {total distance traveled} ,volume of fuel added (v) [,price per liter (p) ,cost paid (c)]
d,p,v,c,o  #alter the order
2004-11-01, 0, 0,0,0    #dummy data
2004-11-04, 0.91, 32.97,30,5
2004-11-18, 0.89, 35.75,32,581
2004-11-30, 1.04, 14.42,15,1273
3.12.04,    0.935,33.16,31,1393
21.12.04,   0.895,38.93,35,2024
27.12.04,   0.919,35.47,32.6,2556
7.01.05,    1.05, 31.44,33.01,3073
13.01.05,   0.869,29.11,25.30,3533
22.01.05,   1.01, 14.85,15,4050
25.01.05,   0.895,35.17,31.48,4289
7.02.05,    0.898,38.97,35,4967
24.02.05,   0.899,36.76,33.5,?
3.03.05,    0.919,21.76,20,6298
8.03.05,    0.941,38.34,36.08,6620
14.03.05,   0.939,35.14,33.,7165
?,          0.962,40.54,39,7867
4.04.05,    0.959,34.51,33.10,8478
16.04.05,   0.973,36.43,35.45,?
25.04.05,   0.969,32.01,31.02,9612
10.05.05,   0.94, 39.36,37,10202
16.05.05,   0.94, 35.11,33,10787
22.05.05,   0.939,29.87,28.05,11315
